title,industry,ai_approved,ai_reason,judged_at
Access Calendar,cybersecurity,True,,2026-08-18T23:56:56.184177+09:00
Access Card,cybersecurity,True,,2026-08-19T13:36:42.244388+09:00
Access Cascade,,True,,2026-08-17T20:32:03.329355+09:00
Access Cash,cybersecurity,True,,2026-08-21T02:20:47.698506+09:00
Access Category,cybersecurity,False,Category가 추상적 분류 용어라 제품 기능을 추측하기 어려움,2026-08-23T13:04:41.554058+09:00
Access Center,cybersecurity,True,,2026-08-18T07:43:20.334023+09:00
Access Chain,cybersecurity,True,,2026-08-18T07:43:20.334023+09:00
Access Charge,cybersecurity,True,,2026-08-21T02:36:28.722223+09:00
Access Chart,cybersecurity,False,측정·기록 가능한 수치/차트 개념과 무관한 도메인어,2026-08-19T12:22:43.308376+09:00
Access Check,cybersecurity,True,,2026-08-19T13:36:42.244388+09:00
Access Circular,cybersecurity,True,,2026-08-21T01:09:23.227405+09:00
Access Cockpit,,True,,2026-08-17T23:13:09.056664+09:00
Access Code,cybersecurity,True,,2026-08-19T21:45:47.758451+09:00
Access Codex,cybersecurity,True,,2026-08-18T22:02:25.317804+09:00
Access Companion,,True,,2026-08-17T23:29:16.727834+09:00
Access Compass,,True,,2026-08-17T20:35:06.364440+09:00
Access Compendium,cybersecurity,True,,2026-08-18T22:02:25.317804+09:00
Access Confirmation,cybersecurity,True,,2026-08-21T01:09:23.227405+09:00
Access Console,cybersecurity,True,,2026-08-18T07:43:20.334023+09:00
Access Core,cybersecurity,True,,2026-08-18T07:43:20.334023+09:00
Access Cost,cybersecurity,True,,2026-08-21T02:05:39.911646+09:00
Access Counter,cybersecurity,True,,2026-08-18T23:56:56.184177+09:00
Access Dashboard,,True,,2026-08-17T23:28:58.984040+09:00
Access Deal,cybersecurity,True,,2026-08-21T01:55:13.112053+09:00
Access Debt,cybersecurity,True,,2026-08-21T02:20:47.698506+09:00
Access Deck,cybersecurity,True,,2026-08-18T07:43:20.334023+09:00
Access Depot,cybersecurity,True,,2026-08-18T23:56:56.184177+09:00
Access Desk,,True,,2026-08-17T20:38:51.261946+09:00
Access Detail,cybersecurity,True,,2026-08-23T03:14:30.196647+09:00
Access Dial,cybersecurity,True,,2026-08-18T07:43:20.334023+09:00
Access Digest,cybersecurity,True,,2026-08-19T20:37:10.645493+09:00
Access Directory,cybersecurity,True,,2026-08-18T23:56:56.184177+09:00
Access Dock,cybersecurity,True,,2026-08-18T07:43:20.334023+09:00
Access Dossier,cybersecurity,True,,2026-08-21T01:09:23.227405+09:00
Access Draft,cybersecurity,False,'Draft' does not naturally pair with 'Access' (you don't draft access) — unidiomatic collocation.,2026-08-19T20:37:10.645493+09:00
Access Duty,cybersecurity,True,,2026-08-21T02:36:28.722223+09:00
Access Engine,,True,,2026-08-17T23:09:54.812310+09:00
Access Entry,cybersecurity,True,,2026-08-21T01:09:23.227405+09:00
Access Estimate,cybersecurity,True,,2026-08-19T21:28:57.717683+09:00
Access Excerpt,cybersecurity,True,,2026-08-21T01:09:23.227405+09:00
Access Fare,cybersecurity,True,,2026-08-21T02:05:39.911646+09:00
Access Fee,cybersecurity,True,,2026-08-21T01:55:13.112053+09:00
Access Feed,cybersecurity,True,,2026-08-19T20:37:10.645493+09:00
Access Field,cybersecurity,False,Field가 추상적 데이터 필드 용어라 제품 기능을 추측하기 어려움,2026-08-23T13:04:41.554058+09:00
Access File,cybersecurity,True,,2026-08-19T20:37:10.645493+09:00
Access Finder,cybersecurity,True,,2026-08-18T23:56:56.184177+09:00
Access Fine,cybersecurity,True,,2026-08-23T02:52:18.999459+09:00
Access Flag,cybersecurity,True,,2026-08-21T00:24:34.903558+09:00
Access Flow,,True,,2026-08-17T20:41:20.787117+09:00
Access Forge,,True,,2026-08-17T20:33:16.020559+09:00
Access Form,cybersecurity,True,,2026-08-19T13:36:42.244388+09:00
Access Format,cybersecurity,True,,2026-08-23T13:04:41.554058+09:00
Access Frame,,True,,2026-08-17T20:45:22.370262+09:00
Access Fund,cybersecurity,True,,2026-08-21T02:20:47.698506+09:00
Access Gate,cybersecurity,True,,2026-08-18T07:43:20.334023+09:00
Access Grade,cybersecurity,True,,2026-08-21T00:24:34.903558+09:00
Access Grid,,True,,2026-08-17T21:35:18.423759+09:00
Access Guard,,True,,2026-08-17T20:43:57.612589+09:00
Access Guidebook,cybersecurity,True,,2026-08-18T22:02:25.317804+09:00
Access Harbor,cybersecurity,False,"'Harbor'을 포함해 이번 라운드에 대량 자가확장된 보관/장소 계열 기능어(Yard/Bay/Post/Outpost/Plaza/Harbor/Tower/Shelf/Locker/Booth/Kiosk) 중 다수가 'Access'와 결합됐으나, 자연스러운 영어 관용구로 성립하지 않고 서로 의미가 구별되지 않는 중복 후보임",2026-08-19T00:36:32.503481+09:00
Access History,cybersecurity,True,,2026-08-19T20:37:10.645493+09:00
Access Hub,,True,,2026-08-17T20:40:36.395454+09:00
Access Identifier,cybersecurity,True,,2026-08-23T13:04:41.554058+09:00
Access Inbox,cybersecurity,False,수신함 개념이 이 도메인어와 자연스럽게 연결되지 않음(구체적 요청/메시지성 명사가 아님),2026-08-19T12:22:43.308376+09:00
Access Index,cybersecurity,True,,2026-08-19T21:28:57.717683+09:00
Access Insight,,True,,2026-08-17T23:06:04.469497+09:00
Access Interest,cybersecurity,False,접근권한(access)과 interest의 결합이 무엇을 뜻하는지 짐작하기 어려움,2026-08-23T13:45:14.730720+09:00
Access Item,cybersecurity,True,,2026-08-21T01:55:13.112053+09:00
Access Journal,cybersecurity,True,,2026-08-18T22:02:25.317804+09:00
Access Keeper,,True,,2026-08-17T20:45:46.874737+09:00
Access Kiosk,cybersecurity,False,"'Kiosk'을 포함해 이번 라운드에 대량 자가확장된 보관/장소 계열 기능어(Yard/Bay/Post/Outpost/Plaza/Harbor/Tower/Shelf/Locker/Booth/Kiosk) 중 다수가 'Access'와 결합됐으나, 자연스러운 영어 관용구로 성립하지 않고 서로 의미가 구별되지 않는 중복 후보임",2026-08-19T00:36:32.503481+09:00
Access Lab,cybersecurity,True,,2026-08-18T07:43:20.334023+09:00
Access Ledger,cybersecurity,True,,2026-08-18T07:43:20.334023+09:00
Access Lens,,True,,2026-08-17T20:46:12.433556+09:00
Access Level,cybersecurity,True,,2026-08-19T20:37:10.645493+09:00
Access Levy,cybersecurity,False,조합이 지나치게 모호해 어떤 SaaS 기능/제품인지 짐작하기 어려움,2026-08-23T13:45:14.730720+09:00
Access Line,cybersecurity,False,대기열/생산라인/제품군 개념과 자연스럽게 연결되지 않는 도메인어,2026-08-19T12:22:43.308376+09:00
Access Link,cybersecurity,True,,2026-08-23T03:14:30.196647+09:00
Access List,cybersecurity,True,,2026-08-19T21:45:47.758451+09:00
Access Loan,cybersecurity,True,,2026-08-21T02:05:39.911646+09:00
Access Lobby,cybersecurity,False,물리적 응대·대기 공간 개념과 무관한 도메인어(정치적 로비 의미와 혼동 위험도 있음),2026-08-19T12:22:43.308376+09:00
Access Locator,cybersecurity,True,,2026-08-18T23:56:56.184177+09:00
Access Lock,,True,,2026-08-17T20:48:40.258747+09:00
Access Locker,cybersecurity,False,"'Locker'을 포함해 이번 라운드에 대량 자가확장된 보관/장소 계열 기능어(Yard/Bay/Post/Outpost/Plaza/Harbor/Tower/Shelf/Locker/Booth/Kiosk) 중 다수가 'Access'와 결합됐으나, 자연스러운 영어 관용구로 성립하지 않고 서로 의미가 구별되지 않는 중복 후보임",2026-08-19T00:36:32.503481+09:00
Access Log,cybersecurity,True,,2026-08-19T13:36:42.244388+09:00
Access Loop,,True,,2026-08-17T21:36:24.237197+09:00
Access Manager,,True,,2026-08-17T20:44:45.631544+09:00
Access Map,,True,,2026-08-17T20:47:23.581270+09:00
Access Margin,cybersecurity,True,,2026-08-23T02:52:18.999459+09:00
Access Marker,cybersecurity,False,"'Marker'는 표식/태그 필드를 가리키는 용어로, 도메인 명사와 결합해도 구체적 SaaS 제품 유형을 특정하지 못함",2026-08-23T13:26:11.115718+09:00
Access Memo,cybersecurity,True,,2026-08-21T00:24:34.903558+09:00
Access Meter,cybersecurity,True,,2026-08-18T07:43:20.334023+09:00
Access Metrics,,True,,2026-08-17T23:28:41.981102+09:00
Access Monitor,,True,,2026-08-17T23:28:19.331420+09:00
Access Navigator,,True,,2026-08-17T23:07:52.950180+09:00
Access Nexus,,True,,2026-08-17T21:30:24.502544+09:00
Access Node,cybersecurity,True,,2026-08-18T07:43:20.334023+09:00
Access Note,cybersecurity,True,,2026-08-19T13:36:42.244388+09:00
Access Number,cybersecurity,True,,2026-08-23T03:14:30.196647+09:00
Access Office,cybersecurity,True,,2026-08-18T23:56:56.184177+09:00
Access Ops,,True,,2026-08-17T23:29:34.686853+09:00
Access Order,cybersecurity,True,,2026-08-19T21:45:47.758451+09:00
Access Organizer,,True,,2026-08-17T23:11:28.950122+09:00
Access Outpost,cybersecurity,False,"'Outpost'을 포함해 이번 라운드에 대량 자가확장된 보관/장소 계열 기능어(Yard/Bay/Post/Outpost/Plaza/Harbor/Tower/Shelf/Locker/Booth/Kiosk) 중 다수가 'Access'와 결합됐으나, 자연스러운 영어 관용구로 성립하지 않고 서로 의미가 구별되지 않는 중복 후보임",2026-08-19T00:36:32.503481+09:00
Access Panel,cybersecurity,True,,2026-08-18T07:43:20.334023+09:00
Access Pass,cybersecurity,True,,2026-08-21T00:24:34.903558+09:00
Access Passport,cybersecurity,True,,2026-08-19T12:22:43.308376+09:00
Access Path,,True,,2026-08-17T21:32:05.797514+09:00
Access Petition,cybersecurity,True,,2026-08-21T01:09:23.227405+09:00
Access Pilot,,True,,2026-08-17T20:39:49.091027+09:00
Access Plan,cybersecurity,True,,2026-08-21T01:55:13.112053+09:00
Access Planner,,True,,2026-08-17T23:04:15.040980+09:00
Access Playbook,cybersecurity,True,,2026-08-18T22:02:25.317804+09:00
Access Plaza,cybersecurity,False,"'Plaza'을 포함해 이번 라운드에 대량 자가확장된 보관/장소 계열 기능어(Yard/Bay/Post/Outpost/Plaza/Harbor/Tower/Shelf/Locker/Booth/Kiosk) 중 다수가 'Access'와 결합됐으나, 자연스러운 영어 관용구로 성립하지 않고 서로 의미가 구별되지 않는 중복 후보임",2026-08-19T00:36:32.503481+09:00
Access Point,,True,,2026-08-17T21:30:57.458125+09:00
Access Portal,cybersecurity,True,,2026-08-18T07:43:20.334023+09:00
Access Post,cybersecurity,False,"'Post'을 포함해 이번 라운드에 대량 자가확장된 보관/장소 계열 기능어(Yard/Bay/Post/Outpost/Plaza/Harbor/Tower/Shelf/Locker/Booth/Kiosk) 중 다수가 'Access'와 결합됐으나, 자연스러운 영어 관용구로 성립하지 않고 서로 의미가 구별되지 않는 중복 후보임",2026-08-19T00:36:32.503481+09:00
Access Price,cybersecurity,False,같은 도메인어 'Access'에 대해 Cost가 이미 승인되어 의미 중복(Cost/Price)으로 거절,2026-08-21T02:05:39.911646+09:00
Access Profile,cybersecurity,True,,2026-08-19T13:36:42.244388+09:00
Access Profit,cybersecurity,True,,2026-08-23T02:52:18.999459+09:00
Access Pulse,,True,,2026-08-17T21:34:17.965302+09:00
Access Quota,cybersecurity,True,,2026-08-21T00:24:34.903558+09:00
Access Radar,,True,,2026-08-17T20:38:02.236902+09:00
Access Rail,cybersecurity,True,,2026-08-18T07:43:20.334023+09:00
Access Rate,cybersecurity,True,,2026-08-19T20:37:10.645493+09:00
Access Recap,cybersecurity,True,,2026-08-21T01:09:23.227405+09:00
Access Receipt,cybersecurity,True,,2026-08-19T21:45:47.758451+09:00
Access Register,,True,,2026-08-17T23:14:46.249386+09:00
Access Registry,cybersecurity,True,,2026-08-18T22:02:25.317804+09:00
Access Relay,,True,,2026-08-17T20:37:03.531282+09:00
Access Reminder,cybersecurity,True,,2026-08-19T21:28:57.717683+09:00
Access Report,cybersecurity,True,,2026-08-19T13:36:42.244388+09:00
Access Ring,cybersecurity,False,"TITLE_UNCLEAR: Ring is abstract, no SaaS function is suggested (established prior batches)",2026-08-18T07:43:20.334023+09:00
Access Roadmap,cybersecurity,True,,2026-08-18T22:02:25.317804+09:00
Access Roll,cybersecurity,False,출석·명부 개념과 무관한 도메인어,2026-08-19T12:22:43.308376+09:00
Access Roster,cybersecurity,True,,2026-08-19T00:36:32.503481+09:00
Access Route,cybersecurity,True,,2026-08-18T07:43:20.334023+09:00
Access Rule,cybersecurity,True,,2026-08-23T03:14:30.196647+09:00
Access Sale,cybersecurity,True,,2026-08-21T02:20:47.698506+09:00
Access Sample,cybersecurity,True,,2026-08-19T21:45:47.758451+09:00
Access Scale,cybersecurity,True,,2026-08-18T07:43:20.334023+09:00
Access Scheduler,,True,,2026-08-17T23:28:06.508675+09:00
Access Scope,,True,,2026-08-17T21:37:26.190503+09:00
Access Score,cybersecurity,True,,2026-08-19T13:36:42.244388+09:00
Access Sentry,,True,,2026-08-17T20:46:49.856300+09:00
Access Serial,cybersecurity,False,"'Serial'은 일련번호 필드를 가리키는 용어로, 제품명이 아니라 DB 스키마 필드명처럼 읽혀 어떤 제품인지 특정할 수 없음",2026-08-23T13:26:11.115718+09:00
Access Sheet,cybersecurity,True,,2026-08-19T13:36:42.244388+09:00
Access Shelf,cybersecurity,False,"'Shelf'을 포함해 이번 라운드에 대량 자가확장된 보관/장소 계열 기능어(Yard/Bay/Post/Outpost/Plaza/Harbor/Tower/Shelf/Locker/Booth/Kiosk) 중 다수가 'Access'와 결합됐으나, 자연스러운 영어 관용구로 성립하지 않고 서로 의미가 구별되지 않는 중복 후보임",2026-08-19T00:36:32.503481+09:00
Access Signal,,True,,2026-08-17T21:40:49.556938+09:00
Access Signature,cybersecurity,False,"'Signature'는 서명/식별 패턴 필드를 가리키는 용어로, 도메인 명사와 결합해도 구체적 제품 유형을 특정하지 못하고 필드명처럼 읽힘",2026-08-23T13:26:11.115718+09:00
Access Slip,cybersecurity,True,,2026-08-19T21:45:47.758451+09:00
Access Slot,cybersecurity,True,,2026-08-19T21:45:47.758451+09:00
Access Snapshot,cybersecurity,True,,2026-08-18T22:02:25.317804+09:00
Access Stake,cybersecurity,True,,2026-08-23T02:52:18.999459+09:00
Access Stamp,cybersecurity,False,"'Stamp'는 승인 도장/타임스탬프 필드를 가리키는 용어로, 도메인 명사와 결합해도 구체적 SaaS 제품 유형을 특정하지 못함",2026-08-23T13:26:11.115718+09:00
Access Statement,cybersecurity,True,,2026-08-21T00:24:34.903558+09:00
Access Station,cybersecurity,True,,2026-08-18T07:43:20.334023+09:00
Access Status,cybersecurity,True,,2026-08-19T20:37:10.645493+09:00
Access Stipend,cybersecurity,False,재무 기능어와 도메인 명사의 결합이 부자연스러워 어떤 SaaS 제품인지 짐작하기 어려움(DB 필드명처럼 읽힘),2026-08-23T13:45:14.730720+09:00
Access Stub,cybersecurity,True,,2026-08-21T00:24:34.903558+09:00
Access Studio,cybersecurity,True,,2026-08-18T07:43:20.334023+09:00
Access Suite,,True,,2026-08-17T23:27:38.183762+09:00
Access Sum,cybersecurity,True,,2026-08-21T02:20:47.698506+09:00
Access Summary,cybersecurity,True,,2026-08-19T21:28:57.717683+09:00
Access Sync,,True,,2026-08-17T20:42:10.144192+09:00
Access Tab,cybersecurity,True,,2026-08-21T00:24:34.903558+09:00
Access Table,cybersecurity,True,,2026-08-19T21:45:47.758451+09:00
Access Tag,cybersecurity,True,,2026-08-19T13:36:42.244388+09:00
Access Tally,cybersecurity,True,,2026-08-21T00:24:34.903558+09:00
Access Tariff,cybersecurity,True,,2026-08-21T02:36:28.722223+09:00
Access Tax,cybersecurity,True,,2026-08-21T02:05:39.911646+09:00
Access Terminal,cybersecurity,False,"TITLE_UNCLEAR: Terminal only reads clearly for transportation/maritime_shipping/aviation/logistics, industry=cybersecurity",2026-08-18T07:43:20.334023+09:00
Access Ticker,cybersecurity,False,실시간으로 갱신될 상태값 개념과 무관한 도메인어,2026-08-19T12:22:43.308376+09:00
Access Ticket,cybersecurity,True,,2026-08-19T21:28:57.717683+09:00
Access Timeline,cybersecurity,True,,2026-08-19T21:28:57.717683+09:00
Access Token,cybersecurity,False,"'Token'은 인증/보안 토큰을 가리키는 기술 용어로, 도메인 명사와 결합해도 구체적 SaaS 제품을 특정하지 못하고 DB 필드명처럼 읽힘",2026-08-23T13:26:11.115718+09:00
Access Toll,cybersecurity,True,,2026-08-21T02:36:28.722223+09:00
Access Toolkit,cybersecurity,True,,2026-08-18T22:02:25.317804+09:00
Access Tower,cybersecurity,False,"'Tower'을 포함해 이번 라운드에 대량 자가확장된 보관/장소 계열 기능어(Yard/Bay/Post/Outpost/Plaza/Harbor/Tower/Shelf/Locker/Booth/Kiosk) 중 다수가 'Access'와 결합됐으나, 자연스러운 영어 관용구로 성립하지 않고 서로 의미가 구별되지 않는 중복 후보임",2026-08-19T00:36:32.503481+09:00
Access Tracker,,True,,2026-08-17T20:43:01.991108+09:00
Access Trail,cybersecurity,True,,2026-08-18T07:43:20.334023+09:00
Access Unit,cybersecurity,True,,2026-08-21T01:55:13.112053+09:00
Access Update,cybersecurity,True,,2026-08-19T20:37:10.645493+09:00
Access Value,cybersecurity,True,,2026-08-23T02:52:18.999459+09:00
Access Vault,,True,,2026-08-17T20:36:06.570384+09:00
Access Version,cybersecurity,True,,2026-08-23T03:14:30.196647+09:00
Access View,cybersecurity,True,,2026-08-19T20:37:10.645493+09:00
Access Voucher,cybersecurity,True,,2026-08-21T00:24:34.903558+09:00
Access Watch,,True,,2026-08-17T21:38:35.218560+09:00
Access Wave,,True,,2026-08-17T21:33:17.550972+09:00
Access Window,cybersecurity,False,시간대·서비스 창구 개념과 무관한 도메인어,2026-08-19T12:22:43.308376+09:00
Access Workbench,cybersecurity,True,,2026-08-18T22:02:25.317804+09:00
Access Yard,cybersecurity,False,"'Yard'을 포함해 이번 라운드에 대량 자가확장된 보관/장소 계열 기능어(Yard/Bay/Post/Outpost/Plaza/Harbor/Tower/Shelf/Locker/Booth/Kiosk) 중 다수가 'Access'와 결합됐으나, 자연스러운 영어 관용구로 성립하지 않고 서로 의미가 구별되지 않는 중복 후보임",2026-08-19T00:36:32.503481+09:00
Access Zone,cybersecurity,True,,2026-08-18T07:43:20.334023+09:00
Accreditation Advisory,interpreter_translation_services,True,,2026-08-21T01:09:23.227405+09:00
Accreditation Alert,interpreter_translation_services,True,,2026-08-19T21:03:14.678005+09:00
Accreditation Allowance,interpreter_translation_services,True,,2026-08-21T02:36:28.722223+09:00
Accreditation Asset,interpreter_translation_services,False,"제목만으로 어떤 SaaS 제품/기능인지 추측하기 어려운 추상적 조합으로, 데이터베이스 필드 라벨처럼 읽힘",2026-08-23T13:45:14.730720+09:00
Accreditation Assistant,interpreter_translation_services,True,,2026-08-19T21:03:14.678005+09:00
Accreditation Atlas,interpreter_translation_services,True,,2026-08-19T21:03:14.678005+09:00
Accreditation Attribute,interpreter_translation_services,True,,2026-08-23T13:04:41.554058+09:00
Accreditation Badge,interpreter_translation_services,True,,2026-08-21T00:24:34.903558+09:00
Accreditation Balance,interpreter_translation_services,False,재무 용어와 업계 명사의 조합이 부자연스러워 의미가 불명확함(스키마 필드명처럼 보임),2026-08-23T13:45:14.730720+09:00
Accreditation Base,interpreter_translation_services,True,,2026-08-19T21:03:14.678005+09:00
Accreditation Bay,interpreter_translation_services,True,,2026-08-19T21:03:14.678005+09:00
Accreditation Beacon,interpreter_translation_services,True,,2026-08-19T21:03:14.678005+09:00
Accreditation Bill,interpreter_translation_services,True,,2026-08-19T21:45:47.758451+09:00
Accreditation Bin,interpreter_translation_services,True,,2026-08-19T21:03:14.678005+09:00
Accreditation Board,interpreter_translation_services,True,,2026-08-19T21:03:14.678005+09:00
Accreditation Book,interpreter_translation_services,True,,2026-08-19T21:45:47.758451+09:00
Accreditation Booth,interpreter_translation_services,True,,2026-08-19T21:03:14.678005+09:00
Accreditation Bridge,interpreter_translation_services,True,,2026-08-19T21:03:14.678005+09:00
Accreditation Brief,interpreter_translation_services,True,,2026-08-21T01:09:23.227405+09:00
Accreditation Bulletin,interpreter_translation_services,True,,2026-08-21T01:09:23.227405+09:00
Accreditation Calendar,interpreter_translation_services,True,,2026-08-19T21:03:14.678005+09:00
Accreditation Card,interpreter_translation_services,True,,2026-08-19T21:28:57.717683+09:00
Accreditation Cascade,interpreter_translation_services,True,,2026-08-19T21:03:14.678005+09:00
Accreditation Cash,interpreter_translation_services,True,,2026-08-21T02:20:47.698506+09:00
Accreditation Category,interpreter_translation_services,True,,2026-08-23T13:04:41.554058+09:00
Accreditation Center,interpreter_translation_services,True,,2026-08-19T21:03:14.678005+09:00
Accreditation Chain,interpreter_translation_services,False,Function word is a vague place/geographic metaphor that gives no hint of SaaS function and does not form a natural collocation with the domain word.,2026-08-19T21:03:14.678005+09:00
Accreditation Charge,interpreter_translation_services,True,,2026-08-21T02:36:28.722223+09:00
Accreditation Chart,interpreter_translation_services,True,,2026-08-19T21:03:14.678005+09:00
Accreditation Check,interpreter_translation_services,True,,2026-08-19T21:28:57.717683+09:00
Accreditation Circular,interpreter_translation_services,True,,2026-08-21T01:09:23.227405+09:00
Accreditation Code,interpreter_translation_services,True,,2026-08-19T21:45:47.758451+09:00
Accreditation Companion,interpreter_translation_services,True,,2026-08-19T21:03:14.678005+09:00
Accreditation Compass,interpreter_translation_services,True,,2026-08-19T21:03:14.678005+09:00
Accreditation Confirmation,interpreter_translation_services,True,,2026-08-21T01:09:23.227405+09:00
Accreditation Console,interpreter_translation_services,True,,2026-08-19T21:03:14.678005+09:00
Accreditation Core,interpreter_translation_services,True,,2026-08-19T21:03:14.678005+09:00
Accreditation Cost,interpreter_translation_services,True,,2026-08-21T02:05:39.911646+09:00
Accreditation Counter,interpreter_translation_services,True,,2026-08-19T21:03:14.678005+09:00
Accreditation Deal,interpreter_translation_services,True,,2026-08-21T01:55:13.112053+09:00
Accreditation Debt,interpreter_translation_services,True,,2026-08-21T02:20:47.698506+09:00
Accreditation Deck,interpreter_translation_services,True,,2026-08-19T21:03:14.678005+09:00
Accreditation Desk,interpreter_translation_services,True,,2026-08-19T21:03:14.678005+09:00
Accreditation Detail,interpreter_translation_services,True,,2026-08-23T03:14:30.196647+09:00
Accreditation Directory,interpreter_translation_services,True,,2026-08-19T21:03:14.678005+09:00
Accreditation Dossier,interpreter_translation_services,True,,2026-08-21T01:09:23.227405+09:00
Accreditation Draft,interpreter_translation_services,True,,2026-08-19T21:28:57.717683+09:00
Accreditation Duty,interpreter_translation_services,True,,2026-08-21T02:36:28.722223+09:00
Accreditation Engine,interpreter_translation_services,True,,2026-08-19T21:03:14.678005+09:00
Accreditation Entry,interpreter_translation_services,True,,2026-08-21T01:09:23.227405+09:00
Accreditation Estimate,interpreter_translation_services,True,,2026-08-19T21:28:57.717683+09:00
Accreditation Excerpt,interpreter_translation_services,True,,2026-08-21T01:09:23.227405+09:00
Accreditation Fare,interpreter_translation_services,True,,2026-08-21T02:05:39.911646+09:00
Accreditation Fee,interpreter_translation_services,True,,2026-08-21T01:55:13.112053+09:00
Accreditation Feed,interpreter_translation_services,True,,2026-08-19T21:28:57.717683+09:00
Accreditation Field,interpreter_translation_services,False,같은 청크의 'Accreditation Attribute'와 의미가 사실상 동일함,2026-08-23T13:04:41.554058+09:00
Accreditation File,interpreter_translation_services,True,,2026-08-19T21:28:57.717683+09:00
Accreditation Finder,interpreter_translation_services,False,"Redundant near-synonym of approved ""Accreditation Locator"" (Finder/Locator mean the same thing)",2026-08-19T21:03:14.678005+09:00
Accreditation Fine,interpreter_translation_services,True,,2026-08-23T02:52:18.999459+09:00
Accreditation Flag,interpreter_translation_services,True,,2026-08-21T00:24:34.903558+09:00
Accreditation Flow,interpreter_translation_services,True,,2026-08-19T21:03:14.678005+09:00
Accreditation Forge,interpreter_translation_services,False,"Unwanted double meaning: ""forge"" commonly means to falsify documents, which undermines trust for an accreditation/credentialing product.",2026-08-19T21:03:14.678005+09:00
Accreditation Form,interpreter_translation_services,True,,2026-08-19T21:03:14.678005+09:00
Accreditation Format,interpreter_translation_services,True,,2026-08-23T13:04:41.554058+09:00
Accreditation Frame,interpreter_translation_services,True,,2026-08-19T21:03:14.678005+09:00
Accreditation Fund,interpreter_translation_services,True,,2026-08-21T02:20:47.698506+09:00
Accreditation Gate,interpreter_translation_services,True,,2026-08-19T21:03:14.678005+09:00
Accreditation Grade,interpreter_translation_services,True,,2026-08-21T00:24:34.903558+09:00
Accreditation Grid,interpreter_translation_services,True,,2026-08-19T21:03:14.678005+09:00
Accreditation Harbor,interpreter_translation_services,True,,2026-08-19T21:03:14.678005+09:00
Accreditation History,interpreter_translation_services,True,,2026-08-19T21:28:57.717683+09:00
Accreditation Hub,interpreter_translation_services,True,,2026-08-19T21:03:14.678005+09:00
Accreditation Identifier,interpreter_translation_services,True,,2026-08-23T13:04:41.554058+09:00
Accreditation Inbox,interpreter_translation_services,True,,2026-08-19T21:03:14.678005+09:00
Accreditation Index,interpreter_translation_services,True,,2026-08-19T21:28:57.717683+09:00
Accreditation Interest,interpreter_translation_services,False,"제목만으로 어떤 SaaS 제품/기능인지 추측하기 어려운 추상적 조합으로, 데이터베이스 필드 라벨처럼 읽힘",2026-08-23T13:45:14.730720+09:00
Accreditation Item,interpreter_translation_services,True,,2026-08-21T01:55:13.112053+09:00
Accreditation Journal,interpreter_translation_services,True,,2026-08-19T21:03:14.678005+09:00
